vid,标题,图片链接,视频链接,up主,up主id,播放数,评论数
BV1Mu4y1J73V,严重的电路故障往往都有含金量较高的原因,http://i0.hdslb.com/bfs/archive/2c6a79b819a34062494d621aff450a0286febcc3.jpg,https://www.bilibili.com/video/BV1Mu4y1J73V,城阳电工电路,1985127693,4224799,15565
BV1Zy4y1w7qC,学生：教练用四字成语形容一下我们         教练：百花齐放,http://i2.hdslb.com/bfs/archive/de29dff4fbbdd65b080c967bc7411d6a2ca5e9a8.jpg,https://www.bilibili.com/video/BV1Zy4y1w7qC,笨小海涛,3546563601238834,3739295,1837
BV1d94y1V7dU,我攻略了同学的班主任！！,http://i2.hdslb.com/bfs/archive/6202c21ec1f64b755adc65bc1514199bf1a58f36.jpg,https://www.bilibili.com/video/BV1d94y1V7dU,逗比的雀巢,5294454,2929334,6480
BV1xB4y1d7eS,看完10月新番，我立刻发癫！立刻发癫！【泛式】,http://i2.hdslb.com/bfs/archive/63923ed38ef382d832fe97ba96d7b8c292eeef33.jpg,https://www.bilibili.com/video/BV1xB4y1d7eS,泛式,63231,2529109,14061
BV1gu4y1E7ji,我的朋友都以为我很有钱…,http://i0.hdslb.com/bfs/archive/5701d39869ac013ff491d2f2cc070b4c45d67e11.jpg,https://www.bilibili.com/video/BV1gu4y1E7ji,家伟的山野,3493131114777111,3660129,1870
BV1Ve41197Pq,当寄生虫感染上了寄生虫，谁能胜出？,http://i2.hdslb.com/bfs/archive/8578e320df38c915b7c1fc6826da7556befac9f1.jpg,https://www.bilibili.com/video/BV1Ve41197Pq,纪录频道Doc,3493111665789758,3270498,19202
BV1gB4y1d7d4,就要“做”挑战,http://i1.hdslb.com/bfs/archive/52101fafd8fbfd326bff850f1b45199c65250303.jpg,https://www.bilibili.com/video/BV1gB4y1d7d4,高斯Goh,3913194,1952316,12327
BV1SN411W74G,如何在家制造可食用餐具,http://i0.hdslb.com/bfs/archive/6ccd0c14c9c17bb7f6b700117f3368e1984a3433.jpg,https://www.bilibili.com/video/BV1SN411W74G,嘤武罗,349717298,2377605,5744
BV16M411X7A6,印度公主如何成为英国特工？【硬核狠人60】,http://i1.hdslb.com/bfs/archive/7ce0facf77b5767de62e4f3caf65e30f959e5d9a.jpg,https://www.bilibili.com/video/BV16M411X7A6,小约翰可汗,23947287,1701540,17403
BV1Mj411v7Vy,【2023共创之夜】完整版回放：欢迎来到王者荣耀,http://i2.hdslb.com/bfs/archive/3f9f5b4d05100e980f403cfd5a14691c1077f3f5.jpg,https://www.bilibili.com/video/BV1Mj411v7Vy,王者荣耀,57863910,6492404,7642
BV1GB4y1d7yv,史上最强台球赛2,http://i0.hdslb.com/bfs/archive/cfd297ebb826c115d921a6b5d9d93fc194d4c2e9.jpg,https://www.bilibili.com/video/BV1GB4y1d7yv,杜海皇,178029850,1732406,14161
BV1Qg4y1d72Z,因为生理羞耻，我被一群小学生嘲笑了….,http://i0.hdslb.com/bfs/archive/8014b59c1257de3702102cf4367bf3e9bbc28d9a.jpg,https://www.bilibili.com/video/BV1Qg4y1d72Z,拉宏桑,11870568,1985631,5174
BV19c411o7os,【毕导】13年过去了，我终于毕业啦！,http://i0.hdslb.com/bfs/archive/66b82921ae213a86752e02b892ff4df7c9897ab6.jpg,https://www.bilibili.com/video/BV19c411o7os,毕导THU,254463269,3059189,15175
BV1jN4y1k7e5,上课做梦打球，10秒内笑失声系列！！！,http://i0.hdslb.com/bfs/archive/0acd17ae3201c3e4e68aba9e7f99ce48166a0cb4.jpg,https://www.bilibili.com/video/BV1jN4y1k7e5,No-Solution篮球,511575069,4067680,1989
BV1ZB4y1R7GE,一进城才知道我爸这么火,http://i2.hdslb.com/bfs/archive/e47cd99d3addb9326255c8e80b0bb71512354a3d.jpg,https://www.bilibili.com/video/BV1ZB4y1R7GE,龙腾虎跃龙兽医,414700515,1907107,3117
BV19j411e71L,骑着买菜车去到内蒙古，找回重新开始的勇气,http://i0.hdslb.com/bfs/archive/68cc2209139c68aca238ca3588558948cc4f3b22.jpg,https://www.bilibili.com/video/BV19j411e71L,小缸,1850720242,536534,18375
BV1EN4y167uS,史上最炫团建,http://i0.hdslb.com/bfs/archive/64ed7f5f04a31498f185695c8a6298eefc924ccd.jpg,https://www.bilibili.com/video/BV1EN4y167uS,小傲想睡觉,446430908,1031394,24400
BV1NQ4y1H7P6,当猫咖员工是个coser，是什么体验？,http://i2.hdslb.com/bfs/archive/1fd45851967f797e39760753133713c35b9e481d.jpg,https://www.bilibili.com/video/BV1NQ4y1H7P6,猫不理咖啡,263090405,1714064,1581
BV1oN411W76d,创死心里每一只小鹿,http://i1.hdslb.com/bfs/archive/93f78b240f458a3cb8579f07b52f57b9ec247df2.jpg,https://www.bilibili.com/video/BV1oN411W76d,-显眼宝-,34009507,3553132,3129
BV1B84y1R7YP,超猛肌肉猛男！男人为救亲哥哥，一人跨国掀翻一群歹徒！,http://i1.hdslb.com/bfs/archive/65ea1da71b659b83a8f5c63ce089ca76bdf830df.jpg,https://www.bilibili.com/video/BV1B84y1R7YP,摩斯神探,73528331,3637555,3105
BV1EH4y1r712,上海万圣节变百变大咖秀好疯癫笑死我了,http://i1.hdslb.com/bfs/archive/4f976daeaa1903218cf2ed7ccc05a0ce26d42cb0.jpg,https://www.bilibili.com/video/BV1EH4y1r712,白日梦不要钱--,2053132439,3283831,5974
BV15w411q7cB,百步穿杨,http://i2.hdslb.com/bfs/archive/03d47c4e3cf82403a134d0878263828e7bf1e05d.jpg,https://www.bilibili.com/video/BV15w411q7cB,宁大宝弹珠,3546375409109865,2762540,4987
BV1Eu4y1E7wp,讨厌舔狗,http://i2.hdslb.com/bfs/archive/8a642ecb0bf595bc38fcc2a45751f2a552734d61.jpg,https://www.bilibili.com/video/BV1Eu4y1E7wp,刘炫i,17785708,7481422,48264
BV12M411D7hG,偶遇大力王真人！太难蚌了！,http://i1.hdslb.com/bfs/archive/7c89e32cdbbe9a531b053811b01e386abbdcb2db.jpg,https://www.bilibili.com/video/BV12M411D7hG,短腿小萝卜_babycarrot,349219867,2276102,406
BV1YC4y1n73K,“出来混，没一个难办的”,http://i1.hdslb.com/bfs/archive/ad4f0537e8805b0943466fa01ea3d2705283416a.jpg,https://www.bilibili.com/video/BV1YC4y1n73K,欧丘,392331008,2072933,861
